,text,score,user,time
0,闭环管控包括哪些？,0,该上上,Sun May 08 08:27:54 +0800 2022
1,我们离如常的上海越来越近了，继续加油不放松,0,一棵有梦想的娴Cai,Sun May 08 08:21:19 +0800 2022
2,清零攻坚不放松，不松懈，让我们一起守“沪”！,0,Aimee是女神,Sun May 08 08:20:08 +0800 2022
3,防护不松懈 争取早日清零,0,问号_Z,Sun May 08 08:12:00 +0800 2022
4,社会面11个了，快了快了,2,xz亽绊,Sun May 08 08:14:06 +0800 2022
5,上海加油,0,1注定错过6,Sun May 08 08:10:15 +0800 2022
6,看到希望了,1,别逛了去睡觉丶,Sun May 08 08:30:02 +0800 2022
7,一天天的减少，曙光就在前面，上海加油⛽️！,-1,杨杨妈咪827,Sun May 08 08:31:06 +0800 2022
8,转发微博,0,苏畋007,Sun May 08 08:26:35 +0800 2022
9,快点好起来吧,1,内蒙古优秀牧民,Sun May 08 08:09:42 +0800 2022
