,text,score,user,time
0,大家都服从安排，配合医护人员，也做好个人防护。致敬每一位舍小家为大家的防疫人员，你们辛苦了！,0,该上上,Fri Apr 08 08:08:25 +0800 2022
1,希望上海快快清零,1,Aimee是女神,Fri Apr 08 07:58:24 +0800 2022
2,希望拐点早日到来大上海加油啊,2,好烦2022,Fri Apr 08 07:55:50 +0800 2022
3,加油加油！早日解封,0,秋秋大帅,Fri Apr 08 07:57:22 +0800 2022
4,加油致敬每一位逆行者,0,撒库拉酱VIP,Fri Apr 08 07:53:26 +0800 2022
5,希望慢慢好起来,2,芋头粥哼甜哒,Fri Apr 08 07:54:52 +0800 2022
6,生活物资希望及时配送，感谢医护和志愿者，希望尽快清零！加油，上海！,4,大盘鸽,Fri Apr 08 08:05:39 +0800 2022
7,继续屏牢，等待拐点，who 怕who！,-1,林语默不做梦,Fri Apr 08 07:56:02 +0800 2022
8,加油上海，相信能克服一切困难，早日战胜病毒,1,夕楊遇輝,Fri Apr 08 08:05:13 +0800 2022
9,早点结束吧,0,i长衫造纸农,Fri Apr 08 07:53:30 +0800 2022
10,疫情赶快好起来，团结一致对抗疫情，足不出户也算为抗疫献出微博之力，不要抱着侥幸心理在外面瞎晃悠，给社会增添麻烦，大家一起克服，我们一定能战胜疫情！,1,静静地等待着Sunny,Fri Apr 08 07:55:06 +0800 2022
11,愿山河无恙,2,决不惹事,Fri Apr 08 08:05:32 +0800 2022
12,,0,30号有点Ku,Fri Apr 08 07:55:11 +0800 2022
13,增长率小了 快快好起来吧,2,RamenQnQ,Fri Apr 08 07:59:42 +0800 2022
14,,0,吃咸菜的熊猫,Fri Apr 08 07:55:17 +0800 2022
15,希望明天比今天少后天比明天少……上海加油，早日清零。,1,萌球球的麻麻,Fri Apr 08 08:06:11 +0800 2022
16,愿上海疫情早日结束,1,Chaisis,Fri Apr 08 07:54:38 +0800 2022
