,text,score,user,time
0,数字在下降，继续坚持不能放松！,-1,乐乐original,Tue May 03 07:50:23 +0800 2022
1,昨天收到了出门证，但是只有一小时时间采购，家里不缺东西所以就没出去口罩酒精棉片随身带着,0,自信的小尾巴,Tue May 03 07:52:08 +0800 2022
2,上海加油，奋斗在一线的朋友们辛苦了,0,狸茯520,Tue May 03 07:51:59 +0800 2022
3,每天都有下降，但每天风险区还是有发现。个人防护还是不能减，不能放飞自我。,-4,床前找月光,Tue May 03 07:51:57 +0800 2022
4,加油！必胜！,0,没有人战胜了所有人,Tue May 03 07:53:53 +0800 2022
5,每天的数据下降，真的不容易。自己参加志愿者，更能体会志愿者的辛苦，希望都快结束吧！,0,东朝南极,Tue May 03 08:52:17 +0800 2022
6,共同守“沪”,0,义乌狂人,Tue May 03 07:53:21 +0800 2022
7,再等一等上海的这份安静，之后一起迎接这座城市重新繁华沸腾。上海加油，我们都在！,3,逃离陌上的软耳甜兔,Tue May 03 08:08:35 +0800 2022
8,快降为零0⃣吧，想出去溜达溜达,0,桃子是个小鲜肉,Tue May 03 08:06:28 +0800 2022
9,降了降了，期待解封，做饭做的想吐,2,慕撩撩,Tue May 03 07:53:23 +0800 2022
10,每天都在下降，继续加油，愿上海早日解封！,0,童念WilliamTung,Tue May 03 07:51:18 +0800 2022
11,上海，加油！早日清零！,0,来来往往1027,Tue May 03 08:31:45 +0800 2022
12,继续加油大家,0,Fleiuus,Tue May 03 08:07:28 +0800 2022
13,五月中旬有望了，加油,1,_快樂每一日,Tue May 03 08:32:11 +0800 2022
14,上海加油！,0,最爱9785小啵猪,Tue May 03 08:20:08 +0800 2022
15,等待解封出门散心，确实都辛苦了,0,受气包的倔强,Tue May 03 08:01:33 +0800 2022
16,加油加油加油,0,卿卿琴琴,Tue May 03 08:31:09 +0800 2022
17,加油吧！,0,小爱的微薄,Tue May 03 08:07:43 +0800 2022
18,每日递减，胜利在望,0,琴棋书画没样精,Tue May 03 07:59:02 +0800 2022
19,上海加油,0,尘埃2091,Tue May 03 07:51:06 +0800 2022
20,274和无症状感染者5395例,1,向阳20091,Tue May 03 08:14:16 +0800 2022
21,数字确实下降了,0,飛鳥伽羅,Tue May 03 07:52:21 +0800 2022
22,好起来了,1,不负好时光2333,Tue May 03 08:23:00 +0800 2022
23,今天少了很多了，加油加油,1,凯瑟琳ml,Tue May 03 08:18:09 +0800 2022
24,看到曙光了,0,H_zhhhh,Tue May 03 08:17:02 +0800 2022
25,,0,一个律途上de游魂,Tue May 03 08:16:56 +0800 2022
26,加油加油,0,废柴很柴,Tue May 03 07:56:46 +0800 2022
27,加油，早日恢复正常,0,令狐为什么不冲,Tue May 03 07:50:49 +0800 2022
28,上海加油,0,王源来包华子,Tue May 03 07:51:04 +0800 2022
29,每一个遵守纪律的上海人民都是英雄,2,Wang23-6,Tue May 03 08:10:01 +0800 2022
30,上海加油！,0,嗷嗷474747,Tue May 03 07:54:55 +0800 2022
31,每天醒来第一件事就是看数字，有明显下降，上海继续加油啊！,0,快乐的春天6,Tue May 03 08:26:54 +0800 2022
32,快了快了,2,还是那个云客,Tue May 03 08:08:35 +0800 2022
33,不管咋样 慢慢好起来了,0,SUKI7CJKA,Tue May 03 08:05:28 +0800 2022
34,加油,0,MIUI加油我挺你,Tue May 03 07:58:15 +0800 2022
35,昨日上海新增本土确诊274例、无症状5395例。#上海战疫# #上海加油#,0,神奇夏夜霜,Tue May 03 07:57:55 +0800 2022
36,上海人民辛苦了！,-1,一去时间不复返,Tue May 03 07:53:08 +0800 2022
37,期待上海的疫情早点结束！期待早日回归往日的人间烟火气！上海加油！！,1,漫步亭升路,Tue May 03 07:50:37 +0800 2022
